OrderID,OrderDate,ShipDate,ShipMode,CustomerSegment,Region,City,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10001,2024-03-06,2024-03-11,Express,Home Office,West,Pune,Clothing,Formal Shirt,1,2759.53,0.15,2345.6,418.31
ORD-10002,2025-04-15,2025-04-18,Same Day,Home Office,East,Patna,Clothing,Jacket,2,2965.66,0.15,5041.62,1628.32
ORD-10003,2025-07-08,2025-07-10,Standard,Home Office,North,Chandigarh,Clothing,T-Shirt,4,3399.28,0.0,13597.12,-1466.21
ORD-10004,2024-12-13,2024-12-15,Express,Consumer,South,Hyderabad,Groceries,Snacks Pack,4,507.74,0.2,1624.77,186.57
ORD-10005,2025-08-30,2025-09-01,Same Day,Home Office,East,Kolkata,Groceries,Tea 500g,6,362.81,0.15,1850.33,114.81
ORD-10006,2025-02-16,2025-02-17,Same Day,Consumer,East,Patna,Groceries,Atta 5kg,4,290.19,0.0,1160.76,219.16
ORD-10007,2025-09-16,2025-09-18,Standard,Home Office,East,Bhubaneswar,Clothing,Sneakers,1,1659.8,0.1,1493.82,73.09
ORD-10008,2024-12-03,2024-12-08,Express,Home Office,South,Coimbatore,Clothing,Formal Shirt,2,1581.17,0.1,2846.11,121.38
ORD-10009,2024-09-24,2024-09-30,Express,Home Office,North,Lucknow,Clothing,Jeans,6,1793.02,0.3,7530.68,1452.27
ORD-10010,2024-08-11,2024-08-16,Same Day,Consumer,West,Ahmedabad,Electronics,Headphones,6,45873.39,0.0,275240.34,14678.21
ORD-10011,2024-05-11,2024-05-14,Standard,Corporate,South,Bengaluru,Groceries,Rice 5kg,5,369.58,0.0,1847.9,411.28
ORD-10012,2024-12-18,2024-12-21,Standard,Consumer,East,Kolkata,Electronics,Laptop,4,30206.36,0.3,84577.81,12547.37
ORD-10013,2024-09-22,2024-09-27,Standard,Home Office,South,Coimbatore,Clothing,T-Shirt,3,1271.82,0.1,3433.91,923.07
ORD-10014,2024-06-17,2024-06-19,Standard,Consumer,South,Chennai,Clothing,Jacket,3,1383.13,0.1,3734.45,458.35
ORD-10015,2025-01-24,2025-01-25,Express,Home Office,North,Chandigarh,Home & Kitchen,Storage Box,2,2100.8,0.3,2941.12,568.85
ORD-10016,2024-03-09,2024-03-14,Standard,Consumer,West,Pune,Furniture,Office Chair,7,4823.43,0.0,33764.01,6309.29
ORD-10017,2025-12-29,2026-01-03,Same Day,Corporate,North,Jaipur,Clothing,Jacket,4,808.65,0.0,3234.6,-516.28
ORD-10018,2024-05-25,2024-05-31,Express,Consumer,East,Kolkata,Groceries,Rice 5kg,6,268.67,0.0,1612.02,392.26
ORD-10019,2025-12-02,2025-12-08,Same Day,Corporate,North,Delhi,Clothing,Jacket,2,1699.25,0.15,2888.72,699.21
ORD-10020,2025-07-26,2025-08-01,Same Day,Corporate,South,Hyderabad,Electronics,Laptop,6,48113.8,0.2,230946.24,27574.29
ORD-10021,2024-03-24,2024-03-28,Standard,Consumer,East,Guwahati,Furniture,Bookshelf,4,19158.33,0.0,76633.32,15963.71
ORD-10022,2024-08-14,2024-08-20,Express,Home Office,South,Coimbatore,Home & Kitchen,Water Bottle,2,615.75,0.0,1231.5,64.68
ORD-10023,2025-08-09,2025-08-12,Express,Consumer,East,Bhubaneswar,Home & Kitchen,Water Bottle,6,1721.51,0.3,7230.34,-839.71
ORD-10024,2024-09-29,2024-10-05,Express,Corporate,West,Surat,Electronics,Smartphone,6,4539.77,0.0,27238.62,-7042.95
ORD-10025,2025-03-25,2025-03-30,Express,Corporate,West,Mumbai,Home & Kitchen,Water Bottle,3,1818.84,0.1,4910.87,319.83
ORD-10026,2024-06-18,2024-06-21,Same Day,Home Office,North,Lucknow,Furniture,Sofa,3,17772.1,0.2,42653.04,4862.98
ORD-10027,2024-12-23,2024-12-27,Express,Corporate,South,Coimbatore,Clothing,Jacket,6,1027.45,0.15,5240.0,-257.16
ORD-10028,2025-06-13,2025-06-17,Standard,Consumer,South,Hyderabad,Home & Kitchen,LED Bulb,1,4832.15,0.3,3382.5,-338.88
ORD-10029,2025-01-14,2025-01-18,Same Day,Home Office,South,Chennai,Electronics,Headphones,1,28760.13,0.1,25884.12,3331.31
ORD-10030,2024-03-26,2024-03-31,Standard,Consumer,South,Bengaluru,Groceries,Tea 500g,3,544.1,0.15,1387.46,145.22
ORD-10031,2025-12-02,2025-12-03,Same Day,Home Office,South,Coimbatore,Clothing,Jacket,6,3302.03,0.05,18821.57,2633.48
ORD-10032,2025-11-25,2025-11-28,Standard,Corporate,South,Bengaluru,Home & Kitchen,Storage Box,5,2889.61,0.15,12280.84,-1241.38
ORD-10033,2024-01-09,2024-01-11,Express,Corporate,West,Surat,Groceries,Tea 500g,4,510.29,0.0,2041.16,588.98
ORD-10034,2024-03-07,2024-03-12,Same Day,Corporate,East,Guwahati,Electronics,Laptop,2,9866.78,0.3,13813.49,375.01
ORD-10035,2025-12-16,2025-12-21,Standard,Home Office,East,Kolkata,Furniture,Bed Frame,2,23339.29,0.0,46678.58,1629.0
ORD-10036,2025-01-03,2025-01-07,Standard,Corporate,West,Ahmedabad,Groceries,Rice 5kg,6,198.92,0.1,1074.17,-132.22
ORD-10037,2024-01-04,2024-01-05,Express,Consumer,South,Coimbatore,Clothing,Sneakers,3,3438.08,0.0,10314.24,-1422.79
ORD-10038,2025-11-21,2025-11-25,Same Day,Consumer,North,Chandigarh,Clothing,Jacket,5,860.16,0.3,3010.56,146.41
ORD-10039,2024-03-09,2024-03-11,Express,Consumer,West,Pune,Groceries,Tea 500g,3,373.57,0.15,952.6,42.7
ORD-10040,2024-06-13,2024-06-14,Same Day,Corporate,West,Pune,Clothing,Jacket,5,1380.26,0.0,6901.3,1116.52
ORD-10041,2025-08-13,2025-08-18,Standard,Home Office,West,Surat,Electronics,Tablet,6,31936.09,0.1,172454.89,13461.99
ORD-10042,2024-02-10,2024-02-11,Same Day,Consumer,North,Lucknow,Furniture,Bookshelf,2,19081.93,0.05,36255.67,2788.33
ORD-10043,2025-01-06,2025-01-09,Standard,Corporate,West,Surat,Electronics,Tablet,4,19691.25,0.2,63012.0,2557.11
ORD-10044,2024-04-29,2024-05-04,Standard,Corporate,South,Bengaluru,Home & Kitchen,Storage Box,7,2855.0,0.2,15988.0,1038.58
ORD-10045,2024-12-16,2024-12-19,Standard,Home Office,East,Kolkata,Furniture,Office Chair,2,7355.6,0.3,10297.84,1267.82
ORD-10046,2025-09-07,2025-09-13,Same Day,Home Office,West,Ahmedabad,Groceries,Atta 5kg,5,346.74,0.3,1213.59,-209.03
ORD-10047,2024-09-27,2024-10-01,Express,Consumer,North,Jaipur,Furniture,Bookshelf,1,13472.79,0.2,10778.23,2063.64
ORD-10048,2024-09-04,2024-09-06,Same Day,Corporate,South,Bengaluru,Electronics,Smartwatch,7,27720.13,0.0,194040.91,46171.35
ORD-10049,2025-10-03,2025-10-06,Express,Corporate,East,Guwahati,Groceries,Snacks Pack,4,112.76,0.15,383.38,57.72
ORD-10050,2025-12-08,2025-12-09,Standard,Home Office,East,Kolkata,Furniture,Bed Frame,6,9969.34,0.3,41871.23,10601.5
ORD-10051,2024-06-25,2024-06-28,Standard,Home Office,South,Coimbatore,Groceries,Rice 5kg,2,70.33,0.1,126.59,6.85
ORD-10052,2025-06-04,2025-06-08,Express,Consumer,East,Kolkata,Home & Kitchen,LED Bulb,6,5191.31,0.05,29590.47,5072.08
ORD-10053,2025-07-08,2025-07-11,Standard,Home Office,West,Surat,Groceries,Tea 500g,2,214.42,0.0,428.84,68.4
ORD-10054,2024-05-16,2024-05-21,Same Day,Corporate,South,Hyderabad,Furniture,Bookshelf,6,24971.1,0.0,149826.6,44504.01
ORD-10055,2024-02-14,2024-02-17,Express,Home Office,North,Jaipur,Furniture,Bookshelf,3,3544.83,0.0,10634.49,-1815.34
ORD-10056,2025-12-01,2025-12-07,Standard,Consumer,East,Patna,Clothing,Formal Shirt,2,1408.56,0.3,1971.98,370.44
ORD-10057,2025-09-15,2025-09-17,Same Day,Consumer,North,Chandigarh,Electronics,Smartphone,3,18069.95,0.2,43367.88,-7003.73
ORD-10058,2025-08-17,2025-08-22,Same Day,Consumer,East,Bhubaneswar,Groceries,Atta 5kg,2,575.44,0.3,805.62,47.96
ORD-10059,2024-08-02,2024-08-03,Same Day,Home Office,South,Chennai,Clothing,T-Shirt,7,557.98,0.05,3710.57,-152.63
ORD-10060,2024-08-08,2024-08-11,Express,Home Office,North,Delhi,Clothing,T-Shirt,1,403.82,0.0,403.82,64.5
ORD-10061,2025-01-21,2025-01-23,Same Day,Corporate,South,Bengaluru,Clothing,Jeans,7,1425.28,0.05,9478.11,-1026.25
ORD-10062,2024-02-04,2024-02-06,Express,Consumer,South,Chennai,Home & Kitchen,Mixer Grinder,1,1677.34,0.0,1677.34,352.18
ORD-10063,2024-07-23,2024-07-29,Express,Consumer,West,Ahmedabad,Clothing,T-Shirt,7,3248.26,0.2,18190.26,5695.88
ORD-10064,2024-08-20,2024-08-24,Same Day,Home Office,East,Kolkata,Groceries,Cooking Oil 1L,2,66.41,0.05,126.18,10.85
ORD-10065,2024-08-08,2024-08-13,Standard,Corporate,East,Bhubaneswar,Electronics,Tablet,2,8872.54,0.1,15970.57,2821.16
ORD-10066,2025-12-25,2025-12-29,Same Day,Home Office,West,Pune,Electronics,Headphones,7,53002.25,0.05,352464.96,40584.46
ORD-10067,2024-05-18,2024-05-19,Express,Home Office,South,Hyderabad,Electronics,Laptop,6,16339.37,0.2,78428.98,-18461.55
ORD-10068,2025-12-18,2025-12-19,Express,Home Office,North,Jaipur,Clothing,Formal Shirt,1,1664.68,0.15,1414.98,207.18
ORD-10069,2024-07-12,2024-07-14,Same Day,Corporate,West,Mumbai,Home & Kitchen,Storage Box,7,2460.6,0.3,12056.94,2140.51
ORD-10070,2025-07-25,2025-07-31,Same Day,Home Office,West,Pune,Electronics,Smartwatch,7,52135.99,0.05,346704.33,82067.94
ORD-10071,2025-11-10,2025-11-16,Express,Home Office,West,Pune,Groceries,Cooking Oil 1L,3,564.46,0.1,1524.04,115.82
ORD-10072,2024-04-05,2024-04-07,Express,Corporate,South,Bengaluru,Groceries,Rice 5kg,3,464.43,0.0,1393.29,91.38
ORD-10073,2024-02-11,2024-02-14,Same Day,Home Office,North,Chandigarh,Electronics,Smartphone,1,57620.94,0.05,54739.89,7110.63
ORD-10074,2025-10-20,2025-10-21,Express,Consumer,East,Patna,Home & Kitchen,Non-stick Pan,7,852.77,0.2,4775.51,-865.55
ORD-10075,2024-02-29,2024-03-02,Standard,Corporate,North,Delhi,Electronics,Tablet,3,44505.07,0.1,120163.69,32861.34
ORD-10076,2024-03-29,2024-03-31,Same Day,Corporate,East,Patna,Electronics,Laptop,2,51018.99,0.3,71426.59,20445.72
ORD-10077,2025-01-25,2025-01-29,Express,Corporate,West,Mumbai,Furniture,Study Table,3,22423.74,0.0,67271.22,10081.07
ORD-10078,2024-04-06,2024-04-09,Standard,Consumer,South,Chennai,Home & Kitchen,Mixer Grinder,4,1743.15,0.2,5578.08,458.09
ORD-10079,2025-10-30,2025-11-03,Same Day,Corporate,South,Bengaluru,Home & Kitchen,Water Bottle,4,2971.93,0.1,10698.95,-687.89
ORD-10080,2024-02-06,2024-02-12,Standard,Consumer,North,Delhi,Groceries,Tea 500g,5,558.08,0.0,2790.4,140.98
ORD-10081,2025-10-03,2025-10-04,Express,Consumer,North,Chandigarh,Groceries,Rice 5kg,4,225.54,0.0,902.16,135.9
ORD-10082,2024-12-11,2024-12-15,Same Day,Corporate,East,Patna,Furniture,Bookshelf,2,21458.17,0.15,36478.89,9707.6
ORD-10083,2024-05-05,2024-05-07,Express,Home Office,North,Jaipur,Groceries,Cooking Oil 1L,6,329.91,0.15,1682.54,198.52
ORD-10084,2024-10-24,2024-10-27,Same Day,Consumer,North,Chandigarh,Electronics,Tablet,1,40548.16,0.2,32438.53,8553.83
ORD-10085,2025-10-28,2025-11-02,Same Day,Home Office,South,Chennai,Home & Kitchen,Non-stick Pan,6,3389.85,0.0,20339.1,-4263.97
ORD-10086,2024-07-05,2024-07-07,Same Day,Home Office,West,Mumbai,Furniture,Sofa,7,17764.84,0.3,87047.72,15434.89
ORD-10087,2024-08-27,2024-08-29,Same Day,Consumer,East,Patna,Groceries,Atta 5kg,4,558.13,0.15,1897.64,575.08
ORD-10088,2025-07-10,2025-07-11,Express,Consumer,North,Lucknow,Clothing,Sneakers,2,1199.21,0.0,2398.42,657.8
ORD-10089,2024-09-24,2024-09-25,Standard,Corporate,South,Bengaluru,Clothing,Sneakers,1,758.68,0.2,606.94,-46.54
ORD-10090,2025-03-28,2025-04-03,Standard,Corporate,East,Bhubaneswar,Home & Kitchen,LED Bulb,1,4081.68,0.05,3877.6,683.67
ORD-10091,2025-01-04,2025-01-08,Standard,Consumer,South,Hyderabad,Furniture,Sofa,6,24986.7,0.15,127432.17,31934.09
ORD-10092,2024-11-06,2024-11-08,Standard,Home Office,South,Bengaluru,Groceries,Tea 500g,3,279.17,0.0,837.51,181.36
ORD-10093,2024-07-14,2024-07-15,Standard,Home Office,West,Surat,Home & Kitchen,Mixer Grinder,3,2787.0,0.0,8361.0,1950.52
ORD-10094,2025-08-23,2025-08-26,Standard,Corporate,South,Chennai,Electronics,Smartphone,7,49652.79,0.1,312812.58,34872.13
ORD-10095,2025-01-28,2025-02-02,Same Day,Home Office,West,Pune,Furniture,Study Table,3,19284.29,0.0,57852.87,4150.72
ORD-10096,2025-12-23,2025-12-29,Standard,Home Office,South,Coimbatore,Groceries,Rice 5kg,4,530.07,0.1,1908.25,303.58
ORD-10097,2024-01-05,2024-01-09,Same Day,Corporate,West,Ahmedabad,Furniture,Bed Frame,3,3137.56,0.15,8000.78,1283.11
ORD-10098,2025-02-13,2025-02-14,Same Day,Consumer,North,Jaipur,Furniture,Office Chair,4,14974.19,0.0,59896.76,15696.02
ORD-10099,2025-09-05,2025-09-11,Standard,Consumer,South,Bengaluru,Home & Kitchen,Water Bottle,6,4173.3,0.3,17527.86,-1208.29
ORD-10100,2024-11-04,2024-11-08,Standard,Home Office,South,Chennai,Electronics,Smartwatch,7,20243.24,0.3,99191.88,10453.53
ORD-10101,2025-05-25,2025-05-26,Standard,Consumer,East,Kolkata,Electronics,Smartphone,4,8635.18,0.1,31086.65,7601.4
ORD-10102,2024-08-24,2024-08-27,Express,Consumer,East,Kolkata,Clothing,Formal Shirt,6,1945.78,0.3,8172.28,1096.03
ORD-10103,2025-04-22,2025-04-24,Same Day,Home Office,South,Chennai,Home & Kitchen,Mixer Grinder,6,3908.95,0.2,18762.96,-4282.2
